A.fimbriata,A.infuscatus,A.ochrolaemus,A.roraimae,A.rubiginosus,A.spadiceus,B.capensis,B.rivularis,C.aenea,C.arada,C.caeruleus,C.cinerascens,C.cyanoides,C.elegans,C.gutturalis,C.inda,C.largipennis,C.lineatus,C.mellisugus,C.mosquitus,C.notatus,C.spiza,C.talpacoti,C.tyrannina,C.ustulatus,C.variegatus,Co.torquatus,D.certhia,D.fuliginosa,D.longicauda,D.merula,D.picus,D.pipra,E.gutturalis,F.analis,F.colma,F.mellivora,F.viridis,G.albirostris,G.hirsutus,G.montana,G.rufigula,G.spirurus,H.cantator,H.flavicollis,H.leucosticta,H.macularius,H.melanopogon,H.muscicapinus,H.naevius,H.ochraceiceps,H.perrotii,L.albolineatus,L.fulvus,L.galeatus,L.hypopyrra,L.rufaxilla,L.verreauxi,L.vociferans,M.axillaris,M.barbatus,M.behni,M.ferruginea,M.gilvicollis,M.guttata,M.longipennis,M.macconnelli,M.menetriesii,M.momota,M.oleagineus,M.schisticolor,M.sulphureipygius,M.swainsoni,M.villosus,M.viridicata,M.watsonii,My.torquata,N.chrysocephalum,N.tectus,O.coronatus,O.inerme,P.albicollis,P.albifrons,P.augusti,P.carnifex,P.coronatus,P.crepitans,P.griseogularis,P.longuemareus,P.melanocephalus,P.platyrhynchos,P.pyrrhodes,P.ruber,P.ruficaudatum,P.saturatus,P.stellaris,P.striigularis,P.subvinacea,P.superciliosus,P.uropygialis,Pe.erythromelas,Ph.erythrocercum,Pi.erythrocephala,R.olivaceus,R.ruficauda,S.grossus,S.leucostigma,S.mexicanus,S.olivacea,S.rufigularis,S.turdina,T.albicollis,T.ardesiacus,T.caesius,T.chionurus,T.erythrurus,T.fumigatus,T.furcata,T.insignis,T.leucurus,T.melanurus,T.murinus,T.pella,T.punctatus,T.sulphurescens,T.surinamus,T.violaceus,T.virescens,W.poecilonota,X.guttatus,X.minutus,X.obsoletus,X.pardalotus,X.promeropirhynchus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.259259259,0,1.543209877,0,4.62962963,1.543209877,0,0,0,0,0,0,1.543209877,18.51851852,16.97530864,0,0,0,0,0,0,0,4.62962963,0,0,0,0,0,0,0,1.543209877,0,0,0,0,0,1.543209877,6.172839506,4.62962963,0,0,0,6.172839506,0,0,0,0,0,0,0,0,1.543209877,0,0,13.88888889,0,0,0,1.543209877,0,0,0,0,0,0,0,4.62962963,0,0,0,0,0,3.086419753,0,0,0,0,0,0,0,4.62962963,0,0,0,3.086419753,0,0,0,0,0,0,0,0,0,0,0,0,4.62962963,0,0,6.172839506,1.543209877,0,0,0,0
0,0,0,1.543209877,0,0,0,0,1.543209877,0,0,0,0,0,1.543209877,0,0,0,0,0,0,0,0,0,0,0,0,0,3.086419753,0,20.0617284,0,10.80246914,1.543209877,0,3.086419753,0,0,0,0,4.62962963,21.60493827,1.543209877,0,0,0,1.543209877,0,0,0,0,0,0,0,0,0,0,0,1.543209877,0,0,0,0,1.543209877,0,4.62962963,3.086419753,0,1.543209877,6.172839506,0,0,0,0,0,0,0,0,0,0,0,0,35.49382716,0,0,0,0,0,0,0,1.543209877,0,0,0,1.543209877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.543209877,0,4.62962963,1.543209877,0,0,0,0,0,0,0,4.62962963,0,0,0,0,0,0,12.34567901,1.543209877,0,0,1.543209877,0
0,0,0,0,0,0,1.564945227,0,0,0,0,0,0,0,0,0,0,1.564945227,0,0,0,0,0,0,0,0,0,1.564945227,0,0,0,0,10.95461659,1.564945227,0,6.259780908,0,0,0,0,3.129890454,0,3.129890454,0,0,0,0,0,0,0,3.129890454,0,0,0,1.564945227,0,0,0,0,0,1.564945227,0,0,0,1.564945227,6.259780908,1.564945227,0,0,4.694835681,0,0,0,0,0,0,3.129890454,0,0,0,0,0,10.95461659,0,0,0,0,0,0,0,0,3.129890454,0,0,1.564945227,0,0,0,0,0,0,7.824726135,0,0,0,0,0,0,0,0,15.64945227,0,3.129890454,9.389671362,0,1.564945227,0,0,0,0,0,0,0,0,0,0,0,0,9.389671362,0,3.129890454,3.129890454,1.564945227,0
0,0,0,0,0,0,0,0,0,4.62962963,1.543209877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.543209877,0,32.40740741,0,0,0,0,0,1.543209877,0,6.172839506,6.172839506,7.716049383,0,0,0,0,0,0,0,1.543209877,0,0,0,0,0,0,1.543209877,0,1.543209877,0,1.543209877,0,0,7.716049383,1.543209877,13.88888889,1.543209877,0,4.62962963,0,0,0,0,0,0,3.086419753,0,0,0,0,0,6.172839506,0,0,0,0,0,0,0,1.543209877,0,0,0,3.086419753,0,0,0,3.086419753,1.543209877,0,0,3.086419753,0,1.543209877,0,0,0,3.086419753,0,0,0,3.086419753,1.543209877,0,0,0,0,0,0,0,6.172839506,0,0,0,7.716049383,0,1.543209877,6.172839506,4.62962963,1.543209877,0,0,0
0,0,1.406469761,0,2.812939522,0,0,0,0,15.47116737,1.406469761,0,0,0,1.406469761,0,0,0,0,0,0,0,0,2.812939522,0,0,0,0,1.406469761,0,0,0,4.219409283,0,0,1.406469761,0,0,0,0,0,2.812939522,2.812939522,0,0,0,0,0,0,0,2.812939522,0,0,0,0,0,0,0,0,0,0,0,0,0,2.812939522,18.28410689,1.406469761,0,0,11.25175809,0,0,0,0,0,0,5.625879044,0,0,0,0,0,5.625879044,0,0,0,0,0,0,0,0,0,0,1.406469761,2.812939522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.812939522,0,11.25175809,0,0,1.406469761,0,0,0,0,0,1.406469761,0,0,0,0,0,0,8.438818565,0,0,0,4.219409283,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.543209877,0,0,0,0,0,0,0,0,0,0,0,0,0,1.543209877,0,1.543209877,0,9.259259259,0,0,1.543209877,0,0,0,0,0,3.086419753,1.543209877,0,0,0,0,0,0,0,1.543209877,0,0,0,0,0,0,0,0,1.543209877,0,0,0,0,0,10.80246914,0,0,0,4.62962963,0,0,0,0,0,0,0,0,0,0,0,0,3.086419753,0,0,0,0,0,0,0,0,0,1.543209877,0,1.543209877,0,0,0,0,0,0,0,0,0,0,0,1.543209877,0,0,0,1.543209877,0,1.543209877,0,0,3.086419753,0,0,0,0,0,0,0,0,0,0,0,0,3.086419753,4.62962963,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.721435316,0,0,0,0,0,0,0,0,0,1.573811772,0,0,0,3.147623544,0,1.573811772,0,15.73811772,1.573811772,0,0,0,0,0,0,0,7.869058861,6.295247088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.147623544,0,7.869058861,0,0,3.147623544,0,0,0,0,0,0,3.147623544,0,0,0,0,0,23.60717658,0,0,0,0,0,0,0,0,0,0,3.147623544,3.147623544,0,0,0,1.573811772,0,0,0,4.721435316,0,0,0,0,6.295247088,4.721435316,0,0,0,3.147623544,0,0,0,0,0,0,0,0,1.573811772,0,0,0,6.295247088,0,0,7.869058861,0,1.573811772,0,0,0
0,0,0,0,1.543209877,0,0,0,0,0,0,0,0,0,6.172839506,1.543209877,0,0,0,0,0,0,0,0,0,0,0,1.543209877,0,0,1.543209877,0,4.62962963,0,4.62962963,0,0,0,0,0,0,1.543209877,1.543209877,0,0,0,1.543209877,1.543209877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.086419753,7.716049383,6.172839506,0,1.543209877,4.62962963,0,0,0,0,0,0,0,0,1.543209877,0,0,0,7.716049383,0,1.543209877,0,0,0,0,0,0,0,0,0,3.086419753,0,0,0,0,0,1.543209877,0,0,0,0,0,0,0,0,0,3.086419753,1.543209877,12.34567901,1.543209877,0,0,0,0,0,0,0,0,0,0,0,1.543209877,0,0,4.62962963,1.543209877,3.086419753,0,1.543209877,0
0,0,0,0,0,0,0,0,1.736111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.736111111,0,0,0,0,0,0,0,0,19.09722222,1.736111111,0,1.736111111,0,0,0,0,0,0,12.15277778,0,0,0,0,0,0,0,5.208333333,0,0,0,0,0,0,0,0,0,0,0,0,0,3.472222222,6.944444444,3.472222222,0,0,1.736111111,0,0,0,0,0,0,0,3.472222222,0,0,0,0,8.680555556,0,0,0,1.736111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.736111111,0,8.680555556,5.208333333,0,0,0,1.736111111,0,0,0,3.472222222,0,0,0,3.472222222,0,0,5.208333333,0,0,0,0,0
0,0,0,0,0,0,1.550628004,0,1.550628004,0,0,0,0,0,0,0,1.550628004,0,0,0,0,0,0,0,0,0,0,0,0,0,1.550628004,0,6.202512017,0,0,0,0,0,0,0,0,12.40502403,3.101256009,0,0,0,0,0,0,0,1.550628004,0,0,0,0,0,0,0,0,0,0,0,0,0,4.651884013,1.550628004,0,0,0,3.101256009,0,0,0,3.101256009,0,0,0,0,0,0,0,0,23.25942007,0,0,0,0,0,0,0,1.550628004,0,0,0,0,0,0,0,0,0,0,0,0,1.550628004,0,0,1.550628004,0,1.550628004,0,0,0,0,0,0,0,0,0,0,0,0,1.550628004,0,0,0,0,0,0,1.550628004,0,0,0,0,0
0,0,0,0,0,0,0,0,1.614465612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.614465612,1.614465612,1.614465612,0,19.37358734,1.614465612,0,0,0,0,0,0,0,0,4.843396836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.228931224,4.843396836,3.228931224,3.228931224,1.614465612,0,3.228931224,0,0,0,0,0,0,0,0,0,0,0,0,4.843396836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.686793671,0,6.457862448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.228931224,0,1.614465612,0,0,0
0,0,0,0,0,0,0,0,3.267973856,0,0,0,0,0,0,0,1.633986928,0,0,0,0,0,1.633986928,0,1.633986928,0,0,0,0,0,0,0,42.48366013,0,0,0,0,0,0,0,0,3.267973856,4.901960784,6.535947712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.633986928,0,0,0,0,3.267973856,3.267973856,1.633986928,1.633986928,0,13.07189542,0,0,0,0,0,0,0,0,0,0,0,0,4.901960784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.633986928,0,0,0,1.633986928,0,1.633986928,0,0,0,0,0,1.633986928,0,0,1.633986928,0,0,0,0,0,0,0,0,0,0,0,4.901960784,0,0,4.901960784,1.633986928,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.156565657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.156565657,0,33.14393939,4.734848485,0,0,0,0,0,0,0,14.20454545,4.734848485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.734848485,0,4.734848485,0,0,3.156565657,0,0,0,0,0,0,0,0,0,1.578282828,0,0,7.891414141,0,0,0,0,0,0,0,0,0,0,0,0,1.578282828,0,0,1.578282828,0,0,0,0,0,0,0,1.578282828,0,1.578282828,0,0,0,6.313131313,0,0,0,0,0,0,0,0,1.578282828,0,0,0,4.734848485,0,0,7.891414141,1.578282828,0,0,0,0
0,0,0,0,0,0,0,0,3.220611916,0,0,0,0,0,4.830917874,0,0,0,0,0,1.610305958,0,0,8.051529791,0,0,0,0,6.441223833,1.610305958,0,0,40.25764895,1.610305958,3.220611916,0,0,0,0,0,0,0,6.441223833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.610305958,4.830917874,0,0,0,3.220611916,11.27214171,20.93397746,0,0,1.610305958,0,0,0,0,0,0,1.610305958,0,0,0,0,0,4.830917874,0,0,0,0,0,0,0,0,0,0,0,1.610305958,0,0,0,0,0,0,0,0,0,0,0,3.220611916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.220611916,0,0,8.051529791,1.610305958,0,0,0,0
0,0,0,0,0,0,0,0,1.598721023,0,3.197442046,0,0,0,0,0,1.598721023,0,0,0,0,0,0,3.197442046,0,0,0,0,0,1.598721023,0,0,31.97442046,3.197442046,0,0,0,0,0,0,0,11.19104716,1.598721023,4.79616307,0,0,0,0,0,0,1.598721023,0,0,0,0,0,0,0,0,6.394884093,4.79616307,0,0,0,1.598721023,9.592326139,7.993605116,1.598721023,1.598721023,0,0,0,0,0,0,0,0,0,0,0,0,0,1.598721023,0,0,0,0,0,0,0,0,0,0,0,4.79616307,0,0,0,1.598721023,0,0,0,0,0,0,0,4.79616307,0,0,0,1.598721023,0,0,7.993605116,0,1.598721023,0,4.79616307,0,0,0,3.197442046,0,0,0,0,1.598721023,0,9.592326139,3.197442046,3.197442046,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.578282828,0,0,0,0,0,0,0,0,0,0,0,4.734848485,0,0,0,11.0479798,0,0,0,0,1.578282828,0,0,0,0,3.156565657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.156565657,4.734848485,0,0,0,0,0,0,0,7.891414141,0,0,3.156565657,0,0,0,0,0,15.78282828,0,0,0,0,0,0,0,0,0,0,0,1.578282828,0,0,0,0,0,0,0,0,0,0,0,0,0,1.578282828,0,0,0,6.313131313,0,0,0,0,0,0,0,0,1.578282828,0,0,0,1.578282828,0,0,7.891414141,3.156565657,1.578282828,0,0,0
0,0,0,0,0,0,3.134796238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.134796238,0,3.134796238,0,21.94357367,4.702194357,0,1.567398119,0,0,0,0,0,0,10.97178683,0,3.134796238,0,0,0,0,0,0,0,1.567398119,0,0,0,0,0,0,1.567398119,0,0,0,0,4.702194357,7.836990596,1.567398119,7.836990596,0,0,0,0,0,0,0,0,3.134796238,0,0,0,0,0,18.80877743,0,0,0,0,0,0,0,1.567398119,0,0,0,4.702194357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.134796238,7.836990596,1.567398119,0,0,0,0,0,0,0,0,0,0,0,4.702194357,0,0,6.269592476,0,3.134796238,0,0,0
