MU_code,UID,year,effort,site_number,timesincelogging,timeframe,forest_type ,x,y,100m_buffer,200m_buffer,500m_buffer,1000m_buffer,avg_treesharvest,avg_skidtrail,avg_feeder,avg_secondary,insectivores,frugivores,carnivores,omnivores,nectarivore,sanguinivore,diversity,A.centurio,A.concolor,A.glaucus,A.gnomus,A.lituratus,A.obscurus,A.planirostris,C.auritus,C.brevicauda,C.brevirostris,C.minor,C.perspicillata,C.trinitatum,C.villosum,D.gnoma,D.rotundus,E.auripendulus,G.daviesi,G.soricina,G.sylvestris,L.brasiliense,L.carrikeri,L.schulzi,L.silvicolum,L.spurrelli,L.thomasi,M.albescens,M.brosseti,M.crenulatum,M.hirsute,M.macconnelli,M.megalotis,M.microtis,M.minuta,P.discolor,P.elongatus,P.hastatus,P.helleri,P.leucoptera,P.parnellii,P.stenops,R.pumilio,S.bilineata,S.leptura,S.lilium,S.tildae,T.cirrhosus,T.nicefori,T.saurophila,U.bilobatum,V.bidens,V.pusilla
K39-1Logged,K39-1,2012,351,16,1,post1,general_mixed,305002,510025,14,32,102,348,124,0.18,0.65,0.54,3,5,0,0,1,0,9,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,1,0,0,0,0,4,0
K39-1Logged2,K39-1,2020,432,17,10,post10,general_mixed,305002,510025,14,32,102,348,124,0.18,0.65,0.54,3,5,0,1,1,0,10,0,0,0,1,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,11,0,1,0,0,0,0,6,0,1,0
K39-1Plogged,K39-1,2009,414,18,0,pre_logged,general_mixed,305002,510025,0,0,0,0,0,0.18,0.65,0.54,3,6,2,1,1,0,13,0,0,0,0,20,6,7,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,2,0,3,0
K39-2Logged,K39-2,2012,432,19,1,post1,general_mixed,304001,510016,7,43,205,843,274.5,0.18,0.65,0.54,6,7,2,0,0,0,15,0,0,0,1,0,1,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,7,0,0,0,0,1,0,1,2,4,0
K39-2Logged2,K39-2,2020,432,20,10,post10,general_mixed,304001,510016,7,43,205,843,274.5,0.18,0.65,0.54,4,5,0,0,1,0,10,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,1,0
K39-2Plogged,K39-2,2009,414,21,0,pre_logged,general_mixed,304001,510016,0,0,0,0,0,0.18,0.65,0.54,4,7,2,0,0,1,14,0,0,0,1,20,4,4,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,3,0,0,0
K39-3Logged,K39-3,2012,324,22,1,post1,general_mixed,303001,510017,16,49,242,414,180.25,0.18,0.65,0.54,3,2,0,1,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0
K39-3Logged2,K39-3,2020,309.6,23,10,post10,general_mixed,303001,510017,16,49,242,414,180.25,0.18,0.65,0.54,1,4,0,0,0,0,5,0,0,0,0,2,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
K39-3Plogged,K39-3,2009,279,24,0,pre_logged,general_mixed,303001,510017,0,0,0,0,0,0.18,0.65,0.54,2,6,1,0,0,0,9,0,0,0,3,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,1,0
K39-4Logged,K39-4,2012,384,25,1,post1,greenheart,302017,510004,14,33,113,414,143.5,0.18,0.65,0.54,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
