MU_code,management_unit,UID,year,effort ,site_number,timesincelogging,timeframe,forest_type ,x,y,buffer100m,buffer200m,buffer500m,buffer1000m,avg_treesharvest,avg_skidtrail,avg_feeder,avg_secondary,insectivores,granivores,frugivores,carnivores,omnivores,frugivore/insectivore,nectarivore,understory,mid-story,canopy,all,diversity,A.infuscatus,A.ochrolaemus,A.roraimae,A.rubiginosus,A.spadiceus,B.capensis,B.rivularis,C.aenea,C.arada,C.caeruleus,C.cinerascens,C.cyanoides,C.elegans,C.gutturalis,C.inda,C.largipennis,C.lineatus,C.mellisugus,C.notatus,C.spiza,C.talpacoti,C.tyrannina,C.ustulatus,C.variegatus,Co.torquatus,D.certhia,D.fuliginosa,D.longicauda,D.merula,D.picus,D.pipra,E.gutturalis,F.analis,F.colma,F.mellivora,F.viridis,G.albirostris,G.hirsutus,G.montana,G.rufigula,G.spirurus,H.cantator,H.flavicollis,H.macularius,H.melanopogon,H.muscicapinus,H.naevius,H.ochraceiceps,H.perrotii,L.albolineatus,L.fulvus,L.galeatus,L.verreauxi,L.vociferans,M.axillaris,M.barbatus,M.behni,M.ferruginea,M.gilvicollis,M.guttata,M.longipennis,M.macconnelli,M.menetriesii,M.momota,M.oleagineus,M.schisticolor,M.sulphureipygius,M.swainsoni,M.villosus,M.viridicata,M.watsonii,My.torquata,N.chrysocephalum,N.tectus,O.coronatus,O.inerme,P.albicollis,P.albifrons,P.augusti,P.carnifex,P.coronatus,P.crepitans,P.griseogularis,P.longuemareus,P.platyrhynchos,P.pyrrhodes,P.ruber,P.ruficaudatum,P.saturatus,P.stellaris,P.striigularis,P.subvinacea,P.superciliosus,P.uropygialis,Pe.erythromelas,Ph.erythrocercum,Pi.erythrocephala,R.olivaceus,R.ruficauda,S.grossus,S.leucostigma,S.mexicanus,S.olivacea,S.rufigularis,S.turdina,T.albicollis,T.ardesiacus,T.caesius,T.erythrurus,T.fumigatus,T.furcata,T.leucurus,T.melanurus,T.murinus,T.pella,T.surinamus,T.violaceus,T.virescens,W.poecilonota,X.guttatus,X.minutus,X.obsoletus,X.pardalotus,X.promeropirhynchus
E6-1Logged2,E6,E6-1,2020,621,11,10,post10,greenheart ,310504,508982,0,10,79,274,90.75,0.19,0.35,0.71,20,0,0,1,0,1,2,23,0,0,1,24,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,5,1,2,0,0,0
E6-1Plogged,E6,E6-1,2009,646,12,0,pre_logged,greenheart ,310504,508982,0,0,0,0,0,0.19,0.35,0.71,18,0,1,0,2,1,7,25,1,2,1,29,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,7,0,1,0,1,0,1,0,0,0,0,2,1,1,0,7,1,1,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,3,5,0,1,0,0,0,0,0,0,3,0,0,0,0,0,9,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,3,0,0,5,0,0,0,0,0
E6-2Logged,E6,E6-2,2013,612,13,1,post1,greenheart ,310490,507982,1,22,186,542,187.75,0.19,0.35,0.71,18,0,0,0,1,2,3,22,1,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3,2,1,0,4,2,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,9,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,6,6,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0
E6-2Logged2,E6,E6-2,2020,720,14,10,post10,greenheart ,310490,507982,1,22,186,542,187.75,0.19,0.35,0.71,26,0,0,0,2,2,1,27,2,0,2,31,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,10,2,1,2,0,1,0,0,0,6,6,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,2,3,0,0,0,3,0,0,0,0,0,0,2,0,3,0,0,2,1,1,0,0,0
E6-2Plogged,E6,E6-2,2009,675,15,0,pre_logged,greenheart ,310490,507982,0,0,0,0,0,0.19,0.35,0.71,17,0,0,0,1,1,5,23,0,0,1,24,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,4,0,0,0,1,3,0,1,0,0,0,0,1,0,1,0,1,0
K39-1Logged,K39,K39-1,2012,603,16,1,post1,general_mixed,305002,510025,14,32,102,348,124,0.18,0.65,0.54,19,0,1,0,3,1,2,23,1,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,1,0,2,0,0,0,0,1,0,6,1,1,0,0,0,0,3,0,0,0,0,0,0,5,4,0,0,0,6,6,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,0,0,0,0,0,1,0,3,0,0,3,0,0,0,2,0
K39-1Logged2,K39,K39-1,2020,640.8,17,10,post10,general_mixed,305002,510025,14,32,102,348,124,0.18,0.65,0.54,24,0,0,0,2,1,0,25,1,0,1,27,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,3,1,1,0,0,0,0,0,0,9,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,4,2,9,6,0,0,2,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,3,0,2,0,0,2,4,0,0,0,0
K39-1Plogged,K39,K39-1,2009,639,18,0,pre_logged,general_mixed,305002,510025,0,0,0,0,0,0.18,0.65,0.54,17,0,1,0,1,2,1,22,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,5,1,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0
K39-2Logged,K39,K39-2,2012,621,19,1,post1,general_mixed,304001,510016,7,43,205,843,274.5,0.18,0.65,0.54,16,0,2,1,1,1,3,23,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,7,0,0,6,3,0,0,0,0
K39-2Logged2,K39,K39-2,2020,648,20,10,post10,general_mixed,304001,510016,7,43,205,843,274.5,0.18,0.65,0.54,17,1,2,0,2,1,0,20,1,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,3,1,0,0,0,0,0,0,1,12,11,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,4,3,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0
