MU_code,management_unit,UID,year,effort ,site_number,timesincelogging,timeframe,forest_type ,x,y,buffer100m,buffer200m,buffer500m,buffer1000m,avg_treesharvest,avg_skidtrail,avg_feeder,avg_secondary,insectivores,granivores,frugivores,carnivores,omnivores,frugivore/insectivore,nectarivore,understory,mid-story,canopy,all,diversity,A.infuscatus,A.ochrolaemus,A.roraimae,A.rubiginosus,A.spadiceus,B.capensis,B.rivularis,C.aenea,C.arada,C.caeruleus,C.cinerascens,C.cyanoides,C.elegans,C.gutturalis,C.inda,C.largipennis,C.lineatus,C.mellisugus,C.notatus,C.spiza,C.talpacoti,C.tyrannina,C.ustulatus,C.variegatus,Co.torquatus,D.certhia,D.fuliginosa,D.longicauda,D.merula,D.picus,D.pipra,E.gutturalis,F.analis,F.colma,F.mellivora,F.viridis,G.albirostris,G.hirsutus,G.montana,G.rufigula,G.spirurus,H.cantator,H.flavicollis,H.macularius,H.melanopogon,H.muscicapinus,H.naevius,H.ochraceiceps,H.perrotii,L.albolineatus,L.fulvus,L.galeatus,L.verreauxi,L.vociferans,M.axillaris,M.barbatus,M.behni,M.ferruginea,M.gilvicollis,M.guttata,M.longipennis,M.macconnelli,M.menetriesii,M.momota,M.oleagineus,M.schisticolor,M.sulphureipygius,M.swainsoni,M.villosus,M.viridicata,M.watsonii,My.torquata,N.chrysocephalum,N.tectus,O.coronatus,O.inerme,P.albicollis,P.albifrons,P.augusti,P.carnifex,P.coronatus,P.crepitans,P.griseogularis,P.longuemareus,P.platyrhynchos,P.pyrrhodes,P.ruber,P.ruficaudatum,P.saturatus,P.stellaris,P.striigularis,P.subvinacea,P.superciliosus,P.uropygialis,Pe.erythromelas,Ph.erythrocercum,Pi.erythrocephala,R.olivaceus,R.ruficauda,S.grossus,S.leucostigma,S.mexicanus,S.olivacea,S.rufigularis,S.turdina,T.albicollis,T.ardesiacus,T.caesius,T.erythrurus,T.fumigatus,T.furcata,T.leucurus,T.melanurus,T.murinus,T.pella,T.surinamus,T.violaceus,T.virescens,W.poecilonota,X.guttatus,X.minutus,X.obsoletus,X.pardalotus,X.promeropirhynchus
K41-2Logged,K41,K41-2,2011,612,31,1,post1,greenheart_mixed,306988,510437,5,12,272,765,263.5,0.22,0.32,0.61,14,0,1,0,2,3,2,20,1,1,0,22,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0
K41-2Logged2,K41,K41-2,2020,633.6,32,10,post10,greenheart_mixed,306988,510437,5,12,272,765,263.5,0.22,0.32,0.61,15,0,0,0,2,1,1,17,1,0,1,19,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,3,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,1,0,3,0,0,5,1,0,0,0,0
K41-2Plogged,K41,K41-2,2008,621,33,0,pre_logged,greenheart_mixed,306988,510437,0,0,0,0,0,0.22,0.32,0.61,18,0,0,0,1,1,1,20,1,0,0,21,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,5,0,0,0,0,4,1,0,0,25,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,7,13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,1,0,0,0,0
K41-3Logged,K41,K41-3,2011,625.5,34,1,post1,greenheart_mixed,305997,510436,14,39,207,635,223.75,0.22,0.32,0.61,22,0,0,0,3,1,3,26,0,2,1,29,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,20,2,0,0,0,0,0,0,0,7,1,3,0,0,0,0,0,1,0,0,0,0,0,0,4,3,0,0,0,1,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,5,1,0,3,0,0,2,0,0,1,0,6,2,2,0,0,0
K41-3Logged2,K41,K41-3,2020,633.6,35,10,post10,greenheart_mixed,305997,510436,14,39,207,635,223.75,0.22,0.32,0.61,14,0,0,0,2,1,1,16,1,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,5,2,1,0,0,0
K41-3Plogged,K41,K41-3,2008,638,36,0,pre_logged,greenheart_mixed,305997,510436,0,0,0,0,0,0.22,0.32,0.61,20,0,0,0,2,1,0,19,1,2,1,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,14,3,0,1,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,5,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,3,0,0,4,0,2,0,0,0
K41-4Logged,K41,K41-4,2011,623.2,37,1,post1,morei_scrub,305016,510432,0,10,108,341,114.75,0.22,0.32,0.61,11,0,0,1,2,3,4,15,1,2,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,1,0,21,0,0,3,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0
K41-4Logged2,K41,K41-4,2020,603.5,38,10,post10,morei_scrub,305016,510432,0,10,108,341,114.75,0.22,0.32,0.61,17,0,0,0,1,2,1,20,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,18,0,0,1,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0
K41-4Plogged,K41,K41-4,2008,621,39,0,pre_logged,morei_scrub,305016,510432,0,0,0,0,0,0.22,0.32,0.61,15,0,0,0,0,3,2,18,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,2,0,24,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,2,0,5,0,0,1
K43-1Logged,K43,K43-1,2012,595,40,1,post1,general_mixed,306639,508039,4,10,75,370,114.75,0.19,0.25,0,19,1,1,0,0,2,0,18,0,2,3,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,1,5,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1
K43-1Logged2,K43,K43-1,2020,630,41,10,post10,general_mixed,306639,508039,4,10,75,370,114.75,0.19,0.25,0,12,0,1,0,1,3,1,14,0,3,1,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0
K43-1Plogged,K43,K43-1,2010,621,42,0,pre_logged,general_mixed,306639,508039,0,0,0,0,0,0.19,0.25,0,14,0,0,0,1,3,2,17,1,2,0,20,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,2,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0
K43-2Logged,K43,K43-2,2012,561,43,1,post1,general_mixed,305638,508026,1,9,163,573,186.5,0.19,0.25,0,16,0,0,0,1,2,3,20,1,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,11,0,0,0,0,0,0,0,0,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,2,2,1,0,0,0,3,0,0,0,2,0,0,2,3,0,0,0,0
K43-2Logged2,K43,K43-2,2020,633.6,44,10,post10,general_mixed,305638,508026,1,9,163,573,186.5,0.19,0.25,0,23,0,0,1,2,1,1,25,1,0,2,28,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,1,3,1,0,0,0,0,0,3,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,3,3,1,0,1,0,0,4,0,1,0,0,7,3,0,0,0,0
K43-2Plogged,K43,K43-2,2010,630,45,0,pre_logged,general_mixed,305638,508026,0,0,0,0,0,0.19,0.25,0,12,1,0,1,0,1,4,17,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,10,0,1,2,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0
K43-3Logged,K43,K43-3,2012,578,46,1,post1,general_mixed,304687,508035,6,32,175,645,214.5,0.19,0.25,0,9,0,0,0,1,2,3,13,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,8,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
K43-3Logged2,K43,K43-3,2020,633.6,47,10,post10,general_mixed,304687,508035,6,32,175,645,214.5,0.19,0.25,0,24,1,0,1,2,3,0,27,1,1,2,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,11,1,2,0,0,0,0,0,0,2,6,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,3,2,8,2,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,4,1,0,0,0,0,0,0,0,3,0,0,5,6,0,0,0,0
K43-3Plogged,K43,K43-3,2010,639,48,0,pre_logged,general_mixed,304687,508035,0,0,0,0,0,0.19,0.25,0,16,0,0,0,3,1,2,19,1,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2,0,1,0,0,0,0,0,1,7,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,1,1,0,2,0,0,5,2,0,0,0,0
K43-4Logged,K43,K43-4,2012,450.5,49,1,post1,general_mixed,303668,508016,3,36,243,719,250.25,0.19,0.25,0,14,1,0,1,0,1,3,19,0,0,1,20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,0,1,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0
K43-4Logged2,K43,K43-4,2020,635.4,50,10,post10,general_mixed,303668,508016,3,36,243,719,250.25,0.19,0.25,0,17,0,0,0,0,1,0,17,0,1,0,18,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0
K43-4Plogged,K43,K43-4,2010,639,51,0,pre_logged,general_mixed,303668,508016,0,0,0,0,0,0.19,0.25,0,20,0,1,0,1,2,2,25,0,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,0,0,0,0,1,0,4,0,5,1,2,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
