site_number,timeframe,A.amazonica,A.ararauna,A.bicolor,A.chloropterus,A.cinnamomeus,A.dufresniana,A.farinosa,A.macao,A.spadiceus,B.capensis,B.chrysoptera,B.nitidus,C.alector,C.arada,C.brachyura,C.caeruleus,C.cayana,C.cinerascens,C.cinereus,C.cotinga,C.cyaneus,C.cyanoides,C.cyanus,C.elegans,C.flavus,C.gutturalis,C.haemorrhous,C.lineatus,C.melanoleucos,C.niger,C.rubricollis,C.soui,C.spiza,C.tyrannina,C.undatus,C.variegatus,Captio sp.,Ce.torquatus,Chlorestes sp.,Cyanerpes sp.,D.accipitrinus,D.certhia,D.fuliginosa,D.lineatus,D.longicauda,D.merula,D.picumnus,D.picus,D.pipra,D.rufigula,E.forficatus,E.gutturalis,F.analis,F.colma,F.grisea,F.nigricapillus,F.viridis,G.albirostris,G.dea,G.montana,G.rufigula,G.spirurus,G.varia,H.auritus,H.cantator,H.dorsimaculatus,H.macularius,H.melanopogon,H.militaris,H.muscicapinus,H.pectoralis,H.perrotii,H.stictocephalus,H.sticturus,H.thoracicus,I.americanus,I.cayanensis,I.plumbea,J.aureus,L.albolineatus,L.galeatus,L.hypopyrra,L.verreauxi,L.vociferans,M.atra,M.axillaris,M.barbatus,M.behni,M.brachyura,M.campanisona,M.cayanensis,M.ecaudatus,M.ferruginea,M.gilvicollis,M.guttata,M.leucophrys,M.longipennis,M.macconnelli,M.maculatus,M.menetriesii,M.mirandollei,M.momota,M.oleagineus,M.ruficollis,M.surinamensis,M.tuberculifer,M.ustulatus,My.torquata,N.chrysocephalum,N.griseus,N.leucopterus,N.macrorhynchos,N.nigrescens,N.rufipennis,N.tectus,O.gujanensis,O.inerme,O.motmot,P.albifrons,P.albus,P.aracari,P.caica,P.carnifex,P.coraya,P.coronatus,P.crepitans,P.decumanus,P.exilis,P.flavigula,P.fuscus,P.griseiceps,P.jacquacu,P.marail,P.menstruus,P.murina,P.picta,P.platyrhynchos,P.plumbea,P.ruber,P.saturatus,P.speciosa,P.subvinacea,P.superciliosus,P.tricolor,P.viridis,Pe.erythromelas,Ph.erythrocercum,Ph.melanocephalus,Pi.erythrocephala,Pi.melanocephalus,Pia.melanogaster,Platyrinchus sp.,R.melanurus,R.olivaceous,R.simplex,R.tucanus,R.vitellinus,S.griseicapillus,S.grossus,S.leucostigma,S.olivacea,S.piperivora,S.turdina,T.albicollis,T.ardesiacus,T.assimilis,T.caesius,T.chionurus,T.collaris,T.doliatus,T.elatus,T.erythrurus,T.fumigatus,T.furcata,T.huetii,T.leucomelas,T.major,T.melanurus,T.mexicana,T.murinus,T.poliocephalus,T.punctatus,T.purpuratus,T.rufus,T.spodioptila,T.surinamus,T.tao,T.violaceus,T.virdis,T.virescens,Ti.major,V.cassini,V.leucotis,V.olivaceous,W.poecilonota,X.guttatus,X.minutus,X.obsoletus,X.pardalotus,X.punicea
26,post10,0,0,0,25.80645161,0,0,83.87096774,0,0,0,19.35483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.451612903,0,0,0,6.451612903,0,0,6.451612903,45.16129032,0,0,0,0,0,6.451612903,19.35483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.90322581,0,6.451612903,19.35483871,0,0,25.80645161,0,19.35483871,0,0,0,0,0,6.451612903,0,0,0,0,0,12.90322581,0,12.90322581,0,0,32.25806452,0,0,0,0,0,0,0,0,19.35483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.451612903,0,0,19.35483871,0,0,0,0,0,0,0,0,0,0,0,6.451612903,0,0,0,0,0,12.90322581,0,0,0,38.70967742,0,38.70967742,0,0,0,0,0,0,45.16129032,19.35483871,0,0,0,109.6774194,0,0,0,0,0,25.80645161,38.70967742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.451612903,0,25.80645161,0,0,0,0,0,6.451612903,0,0,0,0,12.90322581,0,0,0,0,0,0,0,6.451612903,0
27,pre_logged,25,0,0,0,0,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,6.25,0,31.25,31.25,0,0,0,0,0,6.25,0,0,0,0,0,0,43.75,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,18.75,0,0,50,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,12.5,0,0,0,43.75,0,0,0,6.25,0,6.25,0,12.5,0,0,37.5,0,0,0,0,0,0,6.25,6.25,0,0,31.25,0,0,0,0,0,0,25,56.25,37.5,0,0,0,0,0,18.75,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,31.25,0,25,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,31.25,6.25,0,0,18.75,0
28,post1,47.05882353,0,0,23.52941176,0,58.82352941,47.05882353,23.52941176,0,0,29.41176471,0,17.64705882,0,0,0,0,0,0,5.882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.52941176,17.64705882,0,0,0,105.8823529,0,5.882352941,5.882352941,0,0,0,0,0,23.52941176,0,0,5.882352941,0,11.76470588,0,0,0,0,0,0,0,5.882352941,0,0,23.52941176,0,11.76470588,0,0,5.882352941,0,11.76470588,52.94117647,0,0,0,0,0,5.882352941,0,0,0,11.76470588,41.17647059,0,11.76470588,5.882352941,0,0,0,0,0,0,0,5.882352941,0,0,5.882352941,0,0,0,35.29411765,5.882352941,0,0,0,0,5.882352941,0,0,0,0,0,0,0,0,0,0,5.882352941,0,11.76470588,11.76470588,0,0,0,0,0,0,0,0,0,0,0,17.64705882,0,0,41.17647059,17.64705882,0,47.05882353,0,0,5.882352941,0,35.29411765,0,0,88.23529412,0,0,5.882352941,0,0,0,0,5.882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.41176471,0,0,0,0,0,11.76470588,0,0,0,0,0,0,0,0,0,0,11.76470588,0,0,0
29,post10,44.19889503,0,11.04972376,49.72375691,0,0,116.0220994,0,0,0,11.04972376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.04972376,11.04972376,0,0,16.57458564,27.62430939,0,0,0,0,0,0,0,11.04972376,0,0,0,0,5.524861878,5.524861878,0,0,22.09944751,11.04972376,0,0,0,0,16.57458564,0,0,38.67403315,0,0,11.04972376,0,33.14917127,0,0,5.524861878,0,0,0,0,0,0,0,0,11.04972376,5.524861878,27.62430939,0,0,49.72375691,0,0,0,0,0,0,0,0,0,16.57458564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.524861878,0,0,0,5.524861878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.524861878,0,0,11.04972376,0,0,0,44.19889503,0,49.72375691,0,0,0,0,5.524861878,0,22.09944751,0,0,0,0,11.04972376,0,0,0,0,0,22.09944751,5.524861878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.24861878,0,27.62430939,0,0,0,0,0,5.524861878,5.524861878,0,5.524861878,0,0,0,0,0,0,0,5.524861878,0
30,pre_logged,25,0,0,12.5,0,25,12.5,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,31.25,0,37.5,25,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,12.5,0,0,0,0,0,0,0,12.5,25,0,0,0,6.25,6.25,0,0,25,0,12.5,25,0,0,0,0,0,6.25,0,0,0,0,143.75,0,18.75,0,0,0,0,0,0,6.25,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,31.25,0,0,12.5,6.25,0,0,93.75,0,0,0,12.5,0,0,6.25,0,0,0,43.75,25,0,25,0,12.5,0,0,31.25,0,0,25,0,18.75,0,0,0,0,18.75,12.5,6.25,0,0,0,0,0,6.25,0,0,0,43.75,25,0,0,0,12.5,0,0,0,0,0,0,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,18.75,0
31,post1,50,0,0,33.33333333,0,0,50,0,8.333333333,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,33.33333333,0,0,0,0,0,0,33.33333333,0,0,8.333333333,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,8.333333333,0,0,0,0,0,0,0,0,25,0,0,0,41.66666667,0,0,0,0,16.66666667,0,0,16.66666667,0,0,0,0,8.333333333,16.66666667,0,0,0,0,266.6666667,0,0,0,0,16.66666667,0,0,0,0,8.333333333,0,0,8.333333333,0,0,0,0,0,0,0,0,0,8.333333333,8.333333333,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,8.333333333,0,58.33333333,0,0,0,33.33333333,0,0,0,50,0,50,0,41.66666667,0,0,0,8.333333333,0,0,16.66666667,0,0,0,8.333333333,0,8.333333333,0,8.333333333,0,0,8.333333333,25,0,33.33333333,0,0,8.333333333,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,8.333333333,8.333333333,0,41.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0
32,post10,35.0877193,0,0,17.54385965,0,70.1754386,35.0877193,17.54385965,8.771929825,0,35.0877193,0,0,0,0,0,0,87.71929825,0,0,0,0,0,0,0,0,0,17.54385965,0,0,8.771929825,0,0,26.31578947,26.31578947,17.54385965,0,8.771929825,0,0,0,0,8.771929825,0,0,0,0,0,0,8.771929825,0,8.771929825,0,0,0,0,8.771929825,0,0,0,0,17.54385965,0,0,17.54385965,0,8.771929825,0,0,43.85964912,17.54385965,0,17.54385965,0,43.85964912,70.1754386,0,0,0,0,43.85964912,0,0,122.8070175,0,17.54385965,0,0,8.771929825,35.0877193,0,0,0,8.771929825,8.771929825,0,8.771929825,0,0,0,0,52.63157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.31578947,0,0,0,0,0,17.54385965,26.31578947,0,8.771929825,0,0,0,0,78.94736842,0,0,0,0,0,0,26.31578947,0,0,0,8.771929825,17.54385965,0,0,0,0,8.771929825,35.0877193,0,0,0,0,0,8.771929825,0,0,52.63157895,0,26.31578947,0,0,0,17.54385965,0,0,0,0,0,0,0,0,122.8070175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.63157895,0,0,0,0
33,pre_logged,0,0,0,17.39130435,0,17.39130435,52.17391304,0,8.695652174,0,34.7826087,0,26.08695652,0,0,0,0,8.695652174,0,0,0,0,0,0,0,0,0,0,0,43.47826087,0,0,0,0,26.08695652,8.695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.7826087,26.08695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.3913043,0,17.39130435,0,0,0,8.695652174,0,0,0,0,17.39130435,0,0,0,0,0,0,0,17.39130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.08695652,0,0,52.17391304,0,0,0,0,26.08695652,0,0,17.39130435,0,17.39130435,17.39130435,0,0,0,17.39130435,104.3478261,0,17.39130435,0,8.695652174,0,0,0,0,0,0,43.47826087,26.08695652,0,0,0,0,0,26.08695652,17.39130435,0,17.39130435,0,0,0,0,0,17.39130435,0,0,8.695652174,0,0,0,0,0,0,0,0,0,0,17.39130435,17.39130435,0,0,0,0,0,0,0,0,0,43.47826087,0,0,0,0,17.39130435,34.7826087,0,0,8.695652174,0
34,post1,0,0,0,0,0,8.333333333,91.66666667,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,8.333333333,0,0,0,0,0,8.333333333,8.333333333,0,0,0,0,0,8.333333333,0,0,0,16.66666667,0,0,0,0,0,0,0,33.33333333,0,0,0,16.66666667,0,0,0,0,41.66666667,0,8.333333333,0,0,8.333333333,0,0,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,16.66666667,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,0,16.66666667,8.333333333,0,0,83.33333333,0,0,0,33.33333333,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,8.333333333,16.66666667,0,0,8.333333333,0,0,0,0,0,8.333333333,33.33333333,8.333333333,0,0,8.333333333,0,0,0,25,66.66666667,0,8.333333333,8.333333333,0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0
35,post10,18.18181818,0,0,18.18181818,0,109.0909091,72.72727273,0,0,0,0,0,18.18181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18181818,0,0,0,36.36363636,54.54545455,0,0,0,0,0,9.090909091,0,0,0,0,0,0,0,0,0,0,72.72727273,0,0,0,0,0,0,0,0,45.45454545,0,0,0,0,0,0,0,27.27272727,0,9.090909091,9.090909091,0,0,0,0,0,0,0,0,0,0,136.3636364,0,0,0,0,18.18181818,0,0,0,0,18.18181818,18.18181818,0,9.090909091,9.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090909091,18.18181818,9.090909091,0,0,0,0,0,0,0,18.18181818,9.090909091,0,0,0,0,0,0,36.36363636,0,0,0,0,0,0,0,18.18181818,18.18181818,0,0,0,0,0,45.45454545,18.18181818,0,9.090909091,0,18.18181818,0,0,0,9.090909091,0,18.18181818,0,9.090909091,0,0,9.090909091,0,0,9.090909091,90.90909091,0,27.27272727,0,0,0,0,0,0,0,0,0,0,9.090909091,0,27.27272727,0,0,0,18.18181818,0,9.090909091,0,0,36.36363636,0,0,0,0,0,0,18.18181818,0,0,0,0
