MU_code,UID,management_unit,year,effort,site_number,timeframe,timesincelogging,forest_type ,x,y,100m_buffer,200m_buffer,500m_buffer,1000m_buffer,avg_treesharvest,avg_skidtrail,avg_feeder,avg_secondary,insectivores,granivores,frugivores,carnivores,omnivores,frugivore.insectivore,nectarivore,understory,mid.story,canopy,all,diversity,A.amazonica,A.ararauna,A.bicolor,A.chloropterus,A.cinnamomeus,A.dufresniana,A.farinosa,A.macao,A.spadiceus,B.capensis,B.chrysoptera,B.nitidus,C.alector,C.arada,C.brachyura,C.caeruleus,C.cayana,C.cinerascens,C.cinereus,C.cotinga,C.cyaneus,C.cyanoides,C.cyanus,C.elegans,C.flavus,C.gutturalis,C.haemorrhous,C.lineatus,C.melanoleucos,C.niger,C.rubricollis,C.soui,C.spiza,C.tyrannina,C.undatus,C.variegatus,Captio sp.,Ce.torquatus,Chlorestes sp.,Cyanerpes sp.,D.accipitrinus,D.certhia,D.fuliginosa,D.lineatus,D.longicauda,D.merula,D.picumnus,D.picus,D.pipra,D.rufigula,E.forficatus,E.gutturalis,F.analis,F.colma,F.grisea,F.nigricapillus,F.viridis,G.albirostris,G.dea,G.montana,G.rufigula,G.spirurus,G.varia,H.auritus,H.cantator,H.dorsimaculatus,H.macularius,H.melanopogon,H.militaris,H.muscicapinus,H.pectoralis,H.perrotii,H.stictocephalus,H.sticturus,H.thoracicus,I.americanus,I.cayanensis,I.plumbea,J.aureus,L.albolineatus,L.galeatus,L.hypopyrra,L.verreauxi,L.vociferans,M.atra,M.axillaris,M.barbatus,M.behni,M.brachyura,M.campanisona,M.cayanensis,M.ecaudatus,M.ferruginea,M.gilvicollis,M.guttata,M.leucophrys,M.longipennis,M.macconnelli,M.maculatus,M.menetriesii,M.mirandollei,M.momota,M.oleagineus,M.ruficollis,M.surinamensis,M.tuberculifer,M.ustulatus,My.torquata,N.chrysocephalum,N.griseus,N.leucopterus,N.macrorhynchos,N.nigrescens,N.rufipennis,N.tectus,O.gujanensis,O.inerme,O.motmot,P.albifrons,P.albus,P.aracari,P.caica,P.carnifex,P.coraya,P.coronatus,P.crepitans,P.decumanus,P.exilis,P.flavigula,P.fuscus,P.griseiceps,P.jacquacu,P.marail,P.menstruus,P.murina,P.picta,P.platyrhynchos,P.plumbea,P.ruber,P.saturatus,P.speciosa,P.subvinacea,P.superciliosus,P.tricolor,P.viridis,Pe.erythromelas,Ph.erythrocercum,Ph.melanocephalus,Pi.erythrocephala,Pi.melanocephalus,Pia.melanogaster,Platyrinchus sp.,R.melanurus,R.olivaceous,R.simplex,R.tucanus,R.vitellinus,S.griseicapillus,S.grossus,S.leucostigma,S.olivacea,S.piperivora,S.turdina,T.albicollis,T.ardesiacus,T.assimilis,T.caesius,T.chionurus,T.collaris,T.doliatus,T.elatus,T.erythrurus,T.fumigatus,T.furcata,T.huetii,T.leucomelas,T.major,T.melanurus,T.mexicana,T.murinus,T.poliocephalus,T.punctatus,T.purpuratus,T.rufus,T.spodioptila,T.surinamus,T.tao,T.violaceus,T.virdis,T.virescens,Ti.major,V.cassini,V.leucotis,V.olivaceous,W.poecilonota,X.guttatus,X.minutus,X.obsoletus,X.pardalotus,X.punicea
K39-3Logged,K39-3,K39,2012,100,21,post1,1,mixed,303001,510017,16,49,242,414,180.25,0.18,0.65,0.54,28,3,13,1,6,0,2,22,2,25,4,53,4,0,0,4,0,5,7,0,0,0,4,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,5,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,6,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,1,0,2,0,2,0,0,0,0,1,5,0,0,2,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,1,0,2,0
K39-3Logged_2,K39-3,K39,2020,120,22,post10,10,mixed,303001,510017,16,49,242,414,180.25,0.18,0.65,0.54,24,2,13,0,4,3,1,21,1,23,2,47,0,0,0,8,0,5,1,0,0,0,0,0,0,2,1,0,0,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,4,8,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,4,0,0,0,2,0,0,0,0,1,0,0,2,0,0,2,0,0,1,0,0,0,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,0,1,2,0,0,0,0,0,1,12,7,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,2,4,2,0,0,1,0,0,0,0,0,0
K39-3Unlogged,K39-3,K39,2009,160,23,pre_logged,0,mixed,303001,510017,0,0,0,0,0,0.18,0.65,0.54,44,3,16,1,5,0,1,33,1,33,3,70,2,0,0,0,0,6,8,0,0,0,11,0,6,3,0,0,0,7,0,0,2,0,0,0,0,0,0,4,0,1,1,0,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,6,0,0,10,5,3,0,0,3,2,0,5,0,0,9,0,2,0,2,0,2,1,0,0,0,3,0,5,0,0,2,0,3,0,0,6,0,2,4,0,0,0,0,0,1,2,0,0,0,4,0,3,8,1,0,0,0,0,2,0,3,0,0,2,0,0,0,0,4,2,0,0,0,0,0,33,5,0,3,0,0,0,0,0,0,0,3,11,0,2,0,0,2,1,1,4,5,1,2,0,0,4,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,1,1,0,4,0
K39-4Logged,K39-4,K39,2012,100,24,post1,1,greenheart,302017,510004,14,33,113,414,143.5,0.18,0.65,0.54,21,3,11,0,3,0,0,19,1,15,3,38,1,0,0,0,0,2,6,1,0,0,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0
K39-4Logged_2,K39-4,K39,2020,120,25,post10,10,greenheart,302017,510004,14,33,113,414,143.5,0.18,0.65,0.54,28,1,7,2,5,1,0,23,1,16,4,44,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,3,0,1,0,0,0,1,1,0,0,0,2,0,2,0,0,0,7,1,0,0,0,0,3,0,1,2,0,0,1,0,3,0,0,2,0,0,1,0,3,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,2,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,1,6,0,1,0,0,0,0,0,0,0,2,0
K39-4Unlogged,K39-4,K39,2009,150,26,pre_logged,0,greenheart,302017,510004,0,0,0,0,0,0.18,0.65,0.54,28,2,13,0,5,1,1,20,2,24,4,50,2,0,0,2,0,2,17,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,4,1,0,0,0,0,0,1,0,0,3,0,4,0,5,0,0,0,0,1,8,11,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1,0,3,1,1,0,0,3,2,1,0,0,0
K41-1Logged,K41-1,K41,2011,80,27,post1,1,soft_wallaba,307997,510429,0,4,130,445,144.75,0.22,0.32,0.61,17,1,12,0,3,1,0,13,2,17,2,34,2,0,0,5,0,3,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,2,3,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4,0,2,0,0,2,0,5,0,0,1,0,2,0,7,2,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K41-1Logged_2,K41-1,K41,2020,184,28,post10,10,soft_wallaba,307997,510429,0,4,130,445,144.75,0.22,0.32,0.61,20,0,16,2,1,1,0,19,1,18,2,40,6,0,0,4,0,5,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,2,1,3,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,5,0,0,1,0,0,0,0,0,0,2,0,10,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
K41-1Unlogged,K41-1,K41,2008,150,29,pre_logged,0,soft_wallaba,307997,510429,0,0,0,0,0,0.22,0.32,0.61,27,0,15,0,5,1,1,23,3,21,2,49,2,0,0,4,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,6,0,0,9,7,0,0,0,0,0,0,1,0,0,18,0,7,0,0,0,0,0,5,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,8,0,0,0,4,0,0,1,2,0,0,4,4,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,3,4,0,0,0,0,0,0,0,0,6,8,4,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,2,0,1,0,2,0,0,0,0,0,0,4,1,1,0,0,0
K41-2Logged,K41-2,K41,2011,160,30,post1,1,mixed,306988,510437,5,12,272,765,263.5,0.22,0.32,0.61,30,1,16,1,3,1,1,25,2,23,3,53,0,0,0,6,0,6,19,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,6,0,1,1,0,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,1,2,0,0,3,0,3,0,0,2,0,0,11,0,2,2,0,0,0,0,2,1,0,13,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,3,2,0,0,12,0,0,0,3,0,2,0,1,0,0,2,6,0,2,0,2,0,0,2,0,0,4,0,4,0,0,0,0,1,1,1,0,0,0,0,0,4,0,1,0,0,3,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
K41-2Logged_2,K41-2,K41,2020,177,31,post10,10,mixed,306988,510437,5,12,272,765,263.5,0.22,0.32,0.61,22,0,9,0,2,0,0,20,0,12,1,33,0,0,0,1,0,7,8,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,2,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
K41-2Unlogged,K41-2,K41,2008,120,32,pre_logged,0,mixed,306988,510437,0,0,0,0,0,0.22,0.32,0.61,26,1,9,1,4,1,1,19,0,20,4,43,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,3,0,0,4,5,0,10,0,0,1,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,2,0,0,3,0,1,0,0,0,0,5,4,1,1,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,6,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
K41-3Logged,K41-3,K41,2011,160,33,post1,1,mixed,305997,510436,14,39,207,635,223.75,0.22,0.32,0.61,20,2,15,0,2,1,1,18,1,20,2,41,8,0,0,14,0,8,16,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,4,0,0,1,0,0,3,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,7,0,0,0,5,0,2,0,0,0,0,2,5,0,0,0,5,3,0,1,0,0,3,0,7,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K41-3Logged_2,K41-3,K41,2020,155,34,post10,10,mixed,305997,510436,14,39,207,635,223.75,0.22,0.32,0.61,19,1,10,0,5,0,0,16,2,14,3,35,0,0,0,4,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,7,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,4,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,6,0,6,0,0,0,0,0,0,7,3,0,0,0,17,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0
K41-3Unlogged,K41-3,K41,2008,160,35,pre_logged,0,mixed,305997,510436,0,0,0,0,0,0.22,0.32,0.61,20,1,11,0,6,1,0,15,1,21,2,39,4,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,5,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,7,0,0,0,1,0,1,0,2,0,0,6,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,4,9,6,0,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,2,0,0,2,0,0,0,5,1,0,0,3,0
K41-4Logged,K41-4,K41,2011,170,36,post1,1,morei_scrub,305016,510432,0,10,108,341,114.75,0.22,0.32,0.61,25,1,15,0,3,1,2,23,1,19,4,47,8,0,0,4,0,10,8,4,0,0,5,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,18,0,1,1,0,0,0,0,0,4,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,4,0,2,0,0,1,0,2,9,0,0,0,0,0,1,0,0,0,2,7,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,3,0,8,0,0,1,0,6,0,0,15,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
K41-4Logged_2,K41-4,K41,2020,181,37,post10,10,morei_scrub,305016,510432,0,10,108,341,114.75,0.22,0.32,0.61,20,0,12,2,4,2,1,16,1,21,3,41,8,0,2,9,0,0,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,5,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,4,2,0,0,0,0,3,0,0,7,0,0,2,0,6,0,0,1,0,0,0,0,0,0,0,0,2,1,5,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,8,0,9,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
K41-4Unlogged,K41-4,K41,2008,160,38,pre_logged,0,morei_scrub,305016,510432,0,0,0,0,0,0.22,0.32,0.61,27,1,15,0,3,1,0,22,1,22,2,47,4,0,0,2,0,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,2,4,0,0,0,1,1,0,0,4,0,2,4,0,0,0,0,0,1,0,0,0,0,23,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,2,1,0,0,15,0,0,0,2,0,0,1,0,0,0,7,4,0,4,0,2,0,0,5,0,0,4,0,3,0,0,0,0,3,2,1,0,0,0,0,0,1,0,0,0,7,4,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0
K43-1Logged,K43-1,K43,2012,120,39,post1,1,mixed,306639,508039,4,10,75,370,114.75,0.19,0.25,0,24,1,12,2,2,2,0,20,0,22,2,43,6,0,0,4,0,0,6,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,2,0,0,2,0,0,0,0,1,2,0,0,0,0,32,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7,0,0,0,4,0,0,0,6,0,6,0,5,0,0,0,1,0,0,2,0,0,0,1,0,1,0,1,0,0,1,3,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
K43-1Logged_2,K43-1,K43,2020,114,40,post10,10,mixed,306639,508039,4,10,75,370,114.75,0.19,0.25,0,33,0,13,1,2,2,0,24,2,23,2,51,4,0,0,2,0,8,4,2,1,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,2,0,1,0,0,5,2,0,2,0,5,8,0,0,0,0,5,0,0,14,0,2,0,0,1,4,0,0,0,1,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,3,0,1,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,1,4,0,0,0,0,0,1,0,0,6,0,3,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
K43-1Unlogged,K43-1,K43,2010,115,41,pre_logged,0,mixed,306639,508039,0,0,0,0,0,0.19,0.25,0,19,1,16,0,3,1,0,21,0,18,1,40,0,0,0,2,0,2,6,0,1,0,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,3,0,0,2,0,2,2,0,0,0,2,12,0,2,0,1,0,0,0,0,0,0,5,3,0,0,0,0,0,3,2,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,4,0,0,1,0
K43-2Logged,K43-2,K43,2012,120,42,post1,1,mixed,305638,508026,1,9,163,573,186.5,0.19,0.25,0,22,1,8,2,2,2,0,16,1,15,5,37,0,0,0,0,0,1,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,10,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,4,1,0,0,1,0,0,0,3,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
K43-2Logged_2,K43-2,K43,2020,110,43,post10,10,mixed,305638,508026,1,9,163,573,186.5,0.19,0.25,0,23,2,13,1,5,0,1,18,1,21,5,45,2,0,0,2,0,12,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,2,0,1,0,2,0,0,0,1,0,2,0,1,0,0,1,0,0,1,10,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0
K43-2Unlogged,K43-2,K43,2010,120,44,pre_logged,0,mixed,305638,508026,0,0,0,0,0,0.19,0.25,0,28,3,13,1,6,1,2,29,0,20,5,54,4,0,0,0,0,2,6,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,1,7,5,0,0,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,7,0,3,1,0,0,0,1,0,0,5,0,6,0,10,0,0,1,0,0,3,3,0,1,4,0,1,0,0,4,5,0,1,1,0,0,1,0,0,0,0,0,2,0,6,1,0,4,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
K43-3Logged,K43-3,K43,2012,120,45,post1,1,mixed,304687,508035,6,32,175,645,214.5,0.19,0.25,0,24,0,10,0,2,0,0,16,1,16,3,36,2,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,5,0,0,3,0,3,8,0,0,4,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,3,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
