site_number,timeframe,A.amazonica,A.ararauna,A.bicolor,A.chloropterus,A.cinnamomeus,A.dufresniana,A.farinosa,A.macao,A.spadiceus,B.capensis,B.chrysoptera,B.nitidus,C.alector,C.arada,C.brachyura,C.caeruleus,C.cayana,C.cinerascens,C.cinereus,C.cotinga,C.cyaneus,C.cyanoides,C.cyanus,C.elegans,C.flavus,C.gutturalis,C.haemorrhous,C.lineatus,C.melanoleucos,C.niger,C.rubricollis,C.soui,C.spiza,C.tyrannina,C.undatus,C.variegatus,Captio sp.,Ce.torquatus,Chlorestes sp.,Cyanerpes sp.,D.accipitrinus,D.certhia,D.fuliginosa,D.lineatus,D.longicauda,D.merula,D.picumnus,D.picus,D.pipra,D.rufigula,E.forficatus,E.gutturalis,F.analis,F.colma,F.grisea,F.nigricapillus,F.viridis,G.albirostris,G.dea,G.montana,G.rufigula,G.spirurus,H.auritus,H.cantator,H.dorsimaculatus,H.macularius,H.melanopogon,H.militaris,H.muscicapinus,H.pectoralis,H.perrotii,H.stictocephalus,H.sticturus,H.thoracicus,I.americanus,I.cayanensis,I.plumbea,J.aureus,L.albolineatus,L.galeatus,L.hypopyrra,L.verreauxi,L.vociferans,M.atra,M.axillaris,M.barbatus,M.behni,M.brachyura,M.campanisona,M.cayanensis,M.ecaudatus,M.ferruginea,M.gilvicollis,M.guttata,M.leucophrys,M.longipennis,M.macconnelli,M.menetriesii,M.mirandollei,M.momota,M.oleagineus,M.ruficollis,M.surinamensis,M.tuberculifer,M.ustulatus,My.torquata,N.chrysocephalum,N.griseus,N.leucopterus,N.macrorhynchos,N.nigrescens,N.rufipennis,N.tectus,O.gujanensis,O.inerme,O.motmot,P.albifrons,P.albus,P.aracari,P.caica,P.carnifex,P.coraya,P.coronatus,P.crepitans,P.decumanus,P.exilis,P.flavigula,P.fuscus,P.griseiceps,P.jacquacu,P.marail,P.menstruus,P.murina,P.picta,P.platyrhynchos,P.plumbea,P.ruber,P.saturatus,P.speciosa,P.subvinacea,P.superciliosus,P.tricolor,P.viridis,Pe.erythromelas,Ph.erythrocercum,Ph.melanocephalus,Pi.erythrocephala,Pi.melanocephalus,Pia.melanogaster,R.melanurus,R.olivaceous,R.simplex,R.tucanus,R.vitellinus,S.griseicapillus,S.grossus,S.leucostigma,S.olivacea,S.piperivora,S.turdina,T.albicollis,T.ardesiacus,T.assimilis,T.caesius,T.chionurus,T.collaris,T.doliatus,T.elatus,T.erythrurus,T.fumigatus,T.furcata,T.huetii,T.leucomelas,T.major,T.melanurus,T.mexicana,T.murinus,T.poliocephalus,T.punctatus,T.purpuratus,T.rufus,T.spodioptila,T.surinamus,T.tao,T.violaceus,T.virdis,T.virescens,Ti.major,V.cassini,V.leucotis,V.olivaceous,W.poecilonota,X.guttatus,X.minutus,X.obsoletus,X.pardalotus,X.punicea
1,post1,0,0,0,16.66666667,0,33.33333333,16.66666667,0,16.66666667,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,0,16.66666667,0,25,8.333333333,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,33.33333333,41.66666667,0,75,0,0,0,0,8.333333333,0,0,0,0,0,50,0,0,0,0,0,0,0,16.66666667,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,16.66666667,0,0,0,8.333333333,0,0,0,0,0,0,25,0,0,0,8.333333333,0,0,8.333333333,0,0,0,25,0,0,0,0,0,0,0,25,0,16.66666667,41.66666667,0,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,66.66666667,0,0,0,0
2,pre_logged,0,0,0,41.37931034,0,82.75862069,124.137931,41.37931034,0,0,110.3448276,0,34.48275862,6.896551724,0,0,0,0,0,0,0,20.68965517,0,0,13.79310345,0,0,0,0,0,13.79310345,0,13.79310345,0,34.48275862,13.79310345,0,0,0,0,0,0,0,0,0,6.896551724,0,0,6.896551724,0,0,0,0,13.79310345,0,0,0,0,0,6.896551724,55.17241379,20.68965517,0,0,0,34.48275862,0,0,75.86206897,0,6.896551724,27.5862069,13.79310345,0,0,0,0,0,0,27.5862069,0,0,372.4137931,0,62.06896552,0,0,0,20.68965517,0,0,0,0,27.5862069,0,89.65517241,27.5862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.896551724,0,0,0,34.48275862,0,0,0,0,0,0,62.06896552,27.5862069,0,0,34.48275862,0,0,0,41.37931034,0,0,20.68965517,0,0,0,0,0,6.896551724,6.896551724,0,0,0,20.68965517,0,0,0,0,0,6.896551724,55.17241379,55.17241379,0,0,0,0,0,0,0,13.79310345,41.37931034,20.68965517,6.896551724,0,0,0,0,0,0,0,0,0,34.48275862,0,13.79310345,0,0,27.5862069,0,0,0,0,13.79310345,0,0,0,0,6.896551724,0,20.68965517,13.79310345,0,0,13.79310345,0
3,post10,0,0,0,0,0,51.28205128,94.01709402,34.18803419,8.547008547,0,34.18803419,0,0,0,0,0,0,8.547008547,0,0,0,0,0,0,0,0,0,8.547008547,0,0,0,0,0,0,51.28205128,42.73504274,0,17.09401709,0,0,0,34.18803419,0,0,0,0,17.09401709,0,8.547008547,0,0,0,0,0,0,0,0,0,0,0,0,8.547008547,0,34.18803419,0,17.09401709,0,0,0,8.547008547,0,0,0,0,0,0,0,8.547008547,0,0,0,0,42.73504274,0,8.547008547,0,0,0,0,0,0,0,17.09401709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.547008547,34.18803419,17.09401709,0,0,0,42.73504274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.547008547,17.09401709,0,0,0,0,0,0,0,0,68.37606838,0,8.547008547,0,0,0,0,0,17.09401709,0,0,0,0,8.547008547,0,42.73504274,0,0,0,17.09401709,0,0,0,0,34.18803419,0,0,0,0,0,0,42.73504274,0,0,34.18803419,0
4,post1,0,15.38461538,0,30.76923077,0,30.76923077,53.84615385,0,0,0,15.38461538,0,0,0,0,0,0,7.692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.692307692,23.07692308,0,38.46153846,0,0,0,7.692307692,0,0,0,0,0,0,23.07692308,0,0,0,0,0,0,0,0,0,7.692307692,0,23.07692308,23.07692308,0,7.692307692,0,0,0,0,0,0,7.692307692,15.38461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38461538,0,0,0,0,23.07692308,7.692307692,0,0,0,0,0,0,0,0,0,0,23.07692308,0,0,0,0,7.692307692,0,0,0,0,0,0,7.692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.692307692,0,0,0,0,0,0,38.46153846,0,0,0,0,15.38461538,0,0,0,0,0,15.38461538,0,0,0,0,0,15.38461538,0,7.692307692,0,7.692307692,7.692307692,0,0,0,0,15.38461538,0,0,0,0,0,0,7.692307692,0,0,0,0,0,7.692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,pre_logged,0,0,0,200,0,300,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,post10,0,0,0,0,0,86.20689655,34.48275862,0,0,0,8.620689655,0,8.620689655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.24137931,86.20689655,0,34.48275862,0,0,0,0,8.620689655,0,0,0,0,0,0,0,0,8.620689655,0,25.86206897,0,0,0,0,0,0,0,34.48275862,0,0,0,8.620689655,0,0,17.24137931,0,0,25.86206897,0,0,0,0,0,8.620689655,0,17.24137931,0,0,0,0,0,0,0,0,0,0,0,0,17.24137931,17.24137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.620689655,0,0,0,0,0,0,0,0,0,0,0,0,8.620689655,34.48275862,0,0,0,0,8.620689655,0,0,0,0,0,0,25.86206897,25.86206897,0,8.620689655,0,17.24137931,0,0,0,0,77.5862069,25.86206897,0,0,0,43.10344828,0,0,0,17.24137931,0,0,0,0,0,0,0,0,0,0,0,0,8.620689655,0,86.20689655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.620689655,0
7,post1,0,0,0,0,0,50,83.33333333,0,25,0,16.66666667,0,41.66666667,0,0,0,0,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,0,8.333333333,0,0,0,25,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.66666667,8.333333333,0,50,0,0,0,0,16.66666667,0,0,8.333333333,0,0,0,0,0,0,0,8.333333333,0,0,208.3333333,0,0,0,0,0,0,0,0,8.333333333,8.333333333,0,0,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,16.66666667,0,0,0,0,0,0,8.333333333,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,16.66666667,8.333333333,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,25,0,0,0,0,25,0,0,0,0
8,post10,0,0,0,0,0,42.73504274,162.3931624,0,0,0,0,0,0,0,0,0,0,42.73504274,0,0,0,0,0,0,0,0,0,34.18803419,0,0,0,0,0,0,0,34.18803419,0,17.09401709,0,0,0,0,0,0,0,0,0,0,0,0,0,8.547008547,0,0,0,0,0,0,17.09401709,0,0,34.18803419,0,51.28205128,0,59.82905983,25.64102564,0,0,0,0,0,0,0,0,0,0,34.18803419,0,0,0,17.09401709,188.034188,17.09401709,0,0,0,0,0,0,0,0,17.09401709,0,0,8.547008547,0,0,0,0,0,0,0,0,8.547008547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.547008547,0,17.09401709,0,0,0,8.547008547,0,0,0,0,0,0,8.547008547,0,0,8.547008547,0,0,0,0,0,0,42.73504274,17.09401709,0,0,0,0,0,0,0,17.09401709,0,17.09401709,0,0,0,17.09401709,0,42.73504274,0,0,0,0,25.64102564,0,25.64102564,0,0,0,25.64102564,0,0,0,0,0,0,8.547008547,0,0,0,0,42.73504274,0,0,0,0
