site_number,timeframe,A.centurio,A.concolor,A.glaucus,A.gnomus,A.lituratus,A.obscurus,A.planirostris,C.auritus,C.brevicauda,C.brevirostris,C.minor,C.perspicillata,C.trinitatum,C.villosum,D.gnoma,D.rotundus,E.auripendulus,G.daviesi,G.soricina,G.sylvestris,L.brasiliense,L.carrikeri,L.schulzi,L.silvicolum,L.spurrelli,L.thomasi,M.albescens,M.brosseti,M.crenulatum,M.hirsute,M.macconnelli,M.megalotis,M.microtis,M.minuta,P.discolor,P.elongatus,P.hastatus,P.helleri,P.leucoptera,P.parnellii,P.stenops,R.pumilio,S.bilineata,S.leptura,S.lilium,S.tildae,T.cirrhosus,T.nicefori,T.saurophila,U.bilobatum,V.bidens,V.pusilla
39,pre_logged,0,4.62962963,0,2.314814815,46.2962963,20.83333333,9.259259259,4.62962963,0,0,0,6.944444444,2.314814815,6.944444444,0,0,0,0,0,0,4.62962963,0,0,0,0,0,0,0,2.314814815,0,4.62962963,0,0,0,0,2.314814815,0,0,0,0,0,32.40740741,0,0,0,2.314814815,0,0,4.62962963,0,0,0
40,post1,0,0,0,5.158627805,0,2.579313903,0,0,0,0,2.579313903,7.737941708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.158627805,0,0,0,0,0,0,0,0,0,0,2.579313903,0,7.737941708,0,0,0,0,0,0,2.579313903,0,5.158627805,0
41,post10,0,0,0,0,11.1135808,8.890864637,0,0,2.222716159,0,0,11.1135808,2.222716159,0,0,0,0,0,0,0,0,0,0,2.222716159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.890864637,0,4.445432318,0,0,0,0,2.222716159,0,8.890864637,0,4.445432318,0
42,pre_logged,0,0,0,1.851851852,7.407407407,1.851851852,5.555555556,0,0,0,3.703703704,1.851851852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.851851852,0,0,0,0,0,0,0,0,1.851851852,0
43,post1,0,0,0,2.496878901,0,7.490636704,0,0,0,0,0,4.993757803,0,0,0,0,0,0,2.496878901,0,0,0,0,4.993757803,0,0,0,0,0,0,7.490636704,0,0,0,0,0,0,0,0,2.496878901,0,4.993757803,0,0,0,0,2.496878901,0,0,0,0,0
44,post10,0,0,0,0,13.22751323,0,2.204585538,0,2.204585538,0,2.204585538,2.204585538,0,0,0,0,0,0,0,0,0,0,0,0,0,2.204585538,0,0,0,0,2.204585538,0,0,0,0,0,0,0,0,0,0,19.84126984,0,0,0,0,0,0,2.204585538,0,0,0
45,pre_logged,0,0,0,0,9.259259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62962963,0,0,0,0,0
46,post1,0,0,0,7.936507937,0,0,3.968253968,0,0,0,7.936507937,3.968253968,0,0,0,0,0,0,3.968253968,0,0,3.968253968,0,0,0,0,0,0,11.9047619,0,0,0,0,0,0,0,0,0,0,3.968253968,3.968253968,3.968253968,0,0,0,0,3.968253968,0,3.968253968,3.968253968,0,0
47,post10,0,0,0,0,8.818342152,2.939447384,2.939447384,0,0,0,5.878894768,0,0,0,0,0,0,0,2.939447384,0,0,0,0,0,0,0,0,0,0,0,2.939447384,0,0,0,0,5.878894768,0,0,0,5.878894768,0,17.6366843,0,0,0,0,0,0,0,2.939447384,8.818342152,0
48,pre_logged,0,0,0,2.364066194,7.092198582,7.092198582,2.364066194,2.364066194,0,0,4.728132388,2.364066194,0,0,0,2.364066194,0,0,0,0,0,0,0,4.728132388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.364066194,0,0,0,2.364066194
49,post1,0,0,0,0,0,0,12.34567901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.34567901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.172839506,0,0,0,0,0
50,post10,0,0,0,0,6.613756614,4.409171076,2.204585538,0,0,0,0,2.204585538,0,0,0,0,0,2.204585538,2.204585538,0,0,0,0,0,0,2.204585538,0,0,0,0,0,0,0,0,0,0,0,0,0,8.818342152,0,6.613756614,0,0,0,0,0,0,2.204585538,0,2.204585538,0
51,pre_logged,0,0,0,2.314814815,2.314814815,2.314814815,2.314814815,0,0,0,2.314814815,0,0,0,0,0,0,0,0,0,0,0,0,4.62962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.314814815,0,0,0,0,0
